Disaster Date,Disaster Type,Disaster Frequency,Risk level,Disaster Location,Temperature (C),Precipitation (mm),Wind Speed (km/h),Humidity (%),Climate Zone,Recommended Material,Material Cost (per sqft) ,Material Durability,Soil Type,Structural Features,Foundation Type,Income Level (annual)
01-09-2005,Landslide,2,Moderate,Himachal Pradesh,15,20.986,15,50,Mountain,Brick,1000,Medium,Rocky,Stone walls,Deep,"50,000"
27-09-2005,Cyclone,1,High,Andhra Pradesh,26,150,100,88,Tropical Wet,Reinforced Concrete,1250,High,Loamy,Steel Frame,Raised,"60,000"
03-10-2005,Forest Fire,6,Moderate,Uttar Pradesh,33,16.386,12,20,Semi-arid,Timber,800,Medium,Sandy,Timber,Shallow,"40,000"
15-11-2005,Earthquake,3,High,Gujarat,25,18.764,13,33,Arid,Stone,900,High,Sandy,Reinforced Concrete,Deep,"60,000"
05-02-2006,Earthquake,2,High,Maharashtra,13,30.696,12,35,Semi-arid,Stone,1100,High,Rocky,Reinforced Concrete,Deep,"60,000"
15-04-2006,Cyclone,3,High,West Bengal,18,215.564,133,88,Tropical Wet,Steel,1200,High,Clayey,Steel Frame,Raised,"50,000"
10-07-2006,Flood,9,High,Bihar,32,650.643,25,86,Subtropical,Reinforced Concrete,1000,High,Alluvial,Brick walls,Raised,"40,000"
20-08-2006,Landslide,2,Moderate,Uttarakhand,13,44.673,17,54,Mountain,Brick,950,Medium,Rocky,Stone walls,Deep,"50,000"
18-09-2006,Cyclone,1,High,Andhra Pradesh,26,160.463,122,81,Tropical Wet,Reinforced Concrete,1309,High,Loamy,Steel Frame,Raised,"55,000"
10-10-2006,Forest Fire,7,Moderate,Rajasthan,33,28.564,14,18,Arid,Timber,880,Medium,Sandy,Timber,Shallow,"44,000"
25-06-2007,Cyclone,3,High,Andhra Pradesh,29,250.348,110,88,Tropical Wet,Steel,1250,High,Clayey,Reinforced Concrete,Raised,"32,000"
15-07-2007,Flood,9,High,Bihar,31,540.532,22,81,Subtropical,Stone,1123,High,Alluvial,Stone walls,Raised,"43,000"
14-08-2007,Landslide,4,Moderate,Himachal Pradesh,13,40.532,13,44,Mountain,Brick,1102,Medium,Rocky,Brick walls,Deep,"55,000"
06-11-2007,Earthquake,2,Moderate,Gujarat,22,33.432,11,38,Arid,Stone,986,High,Sandy,Reinforced Concrete,Deep,"47,000"
26-05-2008,Cyclone,3,High,Orissa,33,110.234,133,87,Tropical Wet,Bamboo,1105,High,Clayey,Reinforced Concrete,Raised,"33,000"
05-06-2008,Flood,8,High,Bihar,29,540.534,23,85,Subtropical,Stone,1200,High,Alluvial,Brick walls,Raised,"30,000"
12-06-2008,Cyclone,2,High,Tamil Nadu,30,155.634,125,88,Tropical Wet,Bamboo,1345,High,Clayey,Steel Frame,Raised,"44,000"
02-07-2008,Earthquake,1,High,J and K,17,30.675,26,44,Mountain,Stone,1000,Medium,Rocky,Stone walls,Deep,"32,000"
18-07-2008,Flood,9,High,Assam,32,509.765,88,80,Subtropical,dto,1087,High,Alluvial,Brick walls,Raised,"31,000"
02-08-2008,Earthquake,4,High,Kashmir,13,33.621,44,45,Mountain,Stone,1100,Medium,Rocky,Stone walls,Deep,"50,000"
25-08-2008,Landslide,3,Moderate,Himachal Pradesh,11,30.876,48,49,Mountain,Brick,1250,Medium,Rocky,Stone walls,Deep,"55,000"
11-09-2008,Landslide,2,Moderate,J and K,14,55.897,58,55,Mountain,Brick,1460,Medium,Rocky,Brick walls,Deep,"45,000"
30-10-2008,Flood,7,High,Karnataka,28,440.875,87,80,Tropical Wet,Reinforced Concrete,1111,High,Sandy,Concrete Slabs,Raised,"60,000"
04-05-2009,Cyclone,3,High,West Bengal,33,125.754,122,89,Tropical Wet,Bamboo,1222,High,Clayey,Reinforced Concrete,Raised,"44,000"
23-06-2009,Flood,7,High,Bihar,19,455.534,22,83,Subtropical,Stone,1123,High,Alluvial,Brick walls,Raised,"35,000"
02-07-2009,Flood,8,High,Assam,31,512.234,33,80,Subtropical,Stone,1200,High,Alluvial,Brick walls,Raised,"47,000"
09-08-2009,Earthquake,1,High,Kashmir,12,48.453,23,43,Mountain,Stone,1280,Medium,Rocky,Stone walls,Deep,"56,000"
07-09-2009,Landslide,3,Moderate,J and K,16,23.561,15,46,Mountain,Brick,1167,Medium,Rocky,Stone walls,Deep,"37,000"
18-09-2009,Cyclone,2,High,Andhra Pradesh,30,144.109,115,82,Tropical Wet,Bamboo,1000,High,Clayey,Reinforced Concrete,Raised,"55,000"
03-10-2009,Flood,9,High,Karnataka,26,333.853,17,88,Tropical Wet,Reinforced Concrete,1234,High,Sandy,Concrete Slabs,Raised,"66,000"
10-10-2009,Forest Fire,8,Moderate,Madhya Pradesh,34,26.875,14,21,Semi-arid,Brick,864,Medium,Sandy,Timber,Shallow,"32,000"
24-03-2010,Earthquake,2,High,Kashmir,13,28.458,25,50,Mountain,Stone,1100,Medium,Rocky,Stone walls,Deep,"45,000"
26-05-2010,Cyclone,3,High,Andhra Pradesh,32,134.965,122,88,Tropical Wet,Steel,1200,High,Clayey,Reinforced Concrete,Raised,"32,000"
25-06-2010,Flood,7,High,Bihar,29,466.23,26,84,Subtropical,Stone,1211,High,Alluvial,Brick walls,Raised,"30,000"
10-07-2010,Flood,6,High,Assam,31,590.532,20,85,Subtropical,Stone,1997,High,Alluvial,Brick walls,Raised,"44,000"
01-08-2010,Landslide,3,Moderate,Himachal Pradesh,14,30.986,10,45,Mountain,Brick,1300,Medium,Rocky,Stone walls,Deep,"55,000"
11-08-2010,Earthquake,2,High,J and K,19,29.643,25,44,Mountain,Stone,1250,Medium,Rocky,Stone walls,Deep,"53,000"
11-09-2010,Cyclone,1,High,Tamil Nadu,30,122.452,110,88,Tropical Wet,Bamboo,1000,High,Clayey,Reinforced Concrete,Raised,"43,000"
07-10-2010,Flood,8,High,Karnataka,26,344.475,17,83,Tropical Wet,Reinforced Concrete,1120,High,Sandy,Concrete Slabs,Raised,"68,000"
15-11-2010,Forest Fire,6,Moderate,Uttar Pradesh,34,33.356,47,17,Semi-arid,Timber,875,Medium,Sandy,Timber,Shallow,"37,000"
11-01-2011,Earthquake,2,High,Sikkim,13,30.563,22,45,Mountain,Stone,1000,High,Rocky,Stone walls,Deep,"44,000"
30-05-2011,Cyclone,3,High,West Bengal,32,150.634,130,88,Tropical Wet,Bamboo,1200,High,Clayey,Reinforced Concrete,Raised,"36,000"
05-06-2011,Flood,8,High,Bihar,31,444.633,25,84,Subtropical,Stone,1100,High,Alluvial,Brick walls,Raised,"33,000"
03-07-2011,Flood,7,High,Assam,29,544.77,26,86,Subtropical,Stone,1984,High,Alluvial,Brick walls,Raised,"35,000"
01-08-2011,Landslide,4,Moderate,Himachal Pradesh,14,29.463,15,44,Mountain,Brick,1200,Medium,Rocky,Stone walls,Deep,"47,000"
18-09-2011,Cyclone,3,High,Tamil Nadu,30,167.646,112,89,Tropical Wet,Steel,1150,High,Clayey,Reinforced Concrete,Raised,"39,000"
26-09-2011,Earthquake,1,High,Rajasthan,18,33.632,15,47,Mountain,Stone,1230,Medium,Rocky,Stone walls,Deep,"48,000"
11-10-2011,Flood,7,High,Karnataka,26,384.854,17,81,Tropical Wet,Reinforced Concrete,1149,High,Sandy,Concrete Slabs,Raised,"55,000"
05-11-2011,Forest Fire,6,Moderate,Madhya Pradesh,33,29.45,12,17,Semi-arid,Timber,853,Medium,Sandy,Timber,Shallow,"34,000"
14-01-2012,Flood,8,High,Kerala,25,200.764,20,80,Tropical Wet,Reinforced Concrete,1100,High,Sandy,Concrete Slabs,Raised,"40,000"
25-02-2012,Earthquake,3,High,Andaman and Nicobar Islands,24,50.845,15,77,Coastal,Stone,1000,High,Sandy,Stone walls,Deep,"33,000"
10-03-2012,Cyclone,4,High,Maharashtra,28,100.533,120,89,Tropical Wet,Steel,1345,High,Clayey,Reinforced Concrete,Raised,"30,000"
04-04-2012,Flood,9,High,Bihar,30,500.423,17,80,Subtropical,Stone,1000,High,Alluvial,Brick walls,Raised,"50,000"
10-05-2012,Landslide,3,Moderate,Himachal Pradesh,10,41.864,13,40,Mountain,Brick,1200,Medium,Rocky,Stone walls,Deep,"60,000"
01-07-2012,Cyclone,4,High,Andhra Pradesh,29,122.345,110,81,Tropical Wet,Steel,1204,High,Clayey,Reinforced Concrete,Raised,"55,000"
15-08-2012,Earthquake,1,Moderate,Rajasthan,21,34.975,16,44,desert,Stone,1300,High,Sandy,Stone walls,Deep,"60,000"
04-09-2012,Flood,7,High,Kerala,22,400.343,28,85,Tropical Wet,Reinforced Concrete,1200,High,Sandy,Concrete Slabs,Raised,"65,000"
25-10-2012,Forest Fire,8,Moderate,Uttar Pradesh,30,33.972,16,15,Semi-arid,Timber,845,Medium,Sandy,Timber,Shallow,"34,000"
23-01-2012,Earthquake,2,High,Sikkim,10,30.321,20,45,Mountain,Stone,1000,High,Rocky,Stone walls,Deep,"46,000"
25-04-2012,Cyclone,3,High,Tamil Nadu,29,100.423,120,88,Tropical Wet,Steel,1200,High,Clayey,Reinforced Concrete,Raised,"32,000"
19-06-2012,Flood,8,High,Uttar Pradesh,3,400.865,20,81,Subtropical,Stone,1264,High,Alluvial,Brick walls,Raised,"30,000"
16-07-2012,Flood,9,High,Assam,32,500.422,20,80,Subtropical,Stone,1000,High,Alluvial,Brick walls,Raised,"37,000"
12-08-2012,Landslide,2,Moderate,J and K,13,22.424,10,40,Mountain,Brick,1000,Medium,Rocky,Stone walls,Deep,"40,000"
11-09-2012,Cyclone,1,High,Andhra Pradesh,31,120.623,100,80,Tropical Wet,Bamboo,1464,High,Clayey,Reinforced Concrete,Raised,"30,000"
29-09-2012,Earthquake,4,High,Gujarat,16,27.652,20,45,Mountain,Stone,1376,Medium,Rocky,Stone walls,Deep,"50,000"
04-10-2012,Flood,7,High,Kerala,24,300.864,15,85,Tropical Wet,Reinforced Concrete,1100,High,Sandy,Concrete Slabs,Raised,"40,000"
17-11-2012,Forest Fire,6,Moderate,Madhya Pradesh,30,31.764,10,17,Semi-arid,Timber,754,Medium,Sandy,Timber,Shallow,"30,000"
15-02-2013,Earthquake,3,Moderate,Andaman and Nicobar Islands,22,26.4735,10,75,Coastal,Stone,1000,High,Sandy,Stone walls,Deep,"40,000"
14-04-2013,Cyclone,2,High,Andhra Pradesh,28,150.733,110,85,Tropical Wet,Reinforced Concrete,1200,High,Clayey,Steel Frame,Raised,"40,000"
16-06-2013,Flood,2,Extreme,Uttarakhand,20,300.532,20,70,Mountain,Stone,1000,High,Rocky,Reinforced Concrete,Deep,"50,000"
28-07-2013,Landslide,1,High,Himachal Pradesh,15,100.976,10,60,Mountain,Brick,1200,Medium,Rocky,Stone walls,Deep,"50,000"
12-10-2013,Cyclone,4,Extreme,Orissa,25,200.533,200,85,Tropical Wet,Bamboo,1400,High,Loamy,Reinforced Concrete,Raised,"40,000"
25-11-2013,Flood,8,High,Assam,20,400.242,15,80,Subtropical,Reinforced Concrete,1100,High,Alluvial,Concrete Slabs,Raised,"55,000"
06-02-2014,Earthquake,2,Moderate,J and K,5,27.875,10,55,Mountain,Stone,1000,High,Rocky,Stone walls,Deep,"40,000"
25-06-2014,Landslide,3,High,Maharashtra,20,200.432,15,60,Tropical Wet,Brick,1200,Medium,Rocky,Stone walls,Deep,"50,000"
30-07-2014,Landslide,1,Extreme,Maharashtra,18,300.725,15,70,Mountain,Stone,1000,High,Rocky,Reinforced Concrete,Deep,"40,000"
03-08-2014,Flood,6,High,Bihar,25,400.643,20,80,Subtropical,Stone,1100,High,Alluvial,Concrete Slabs,Raised,"50,000"
07-09-2014,Flood,1,Extreme,J and K,6,500.942,15,85,Mountain,Reinforced Concrete,1250,High,Loamy,Reinforced Concrete,Raised,"65,000"
12-10-2014,Cyclone,3,Extreme,Orissa,28,200.532,180,85,Tropical Wet,Bamboo,1200,High,Loamy,Reinforced Concrete,Raised,"40,000"
06-12-2014,Flood,7,High,J and K,7,250.732,14,75,Mountain,Reinforced Concrete,1150,High,Loamy,Concrete Slabs,Raised,"50,000"
25-04-2015,Earthquake,3,Extreme,West Bengal,10,30.532,5,40,Subtropical,Reinforced Concrete,1200,High,Rocky,Reinforced Concrete,Deep,"60,000"
30-07-2015,Cyclone,4,Extreme,West Bengal,25,200.875,80,85,Tropical Wet,Steel,1200,High,Loamy,Steel Frame,Raised,"40,000"
03-08-2015,Flood,8,High,Assam,16,400.321,15,80,Subtropical,Reinforced Concrete,1100,High,Alluvial,Concrete Slabs,Raised,"50,000"
15-09-2015,Landslide,3,Moderate,Uttarakhand,18,250.632,10,70,Mountain,Brick,1000,Medium,Rocky,Stone walls,Deep,"55,000"
08-11-2015,Flood,8,Extreme,Tamil Nadu,22,500.753,10,85,Tropical Wet,Reinforced Concrete,1200,High,Loamy,Reinforced Concrete,Raised,"60,000"
12-12-2015,Cyclone,2,High,bihar,22,200.621,120,80,Tropical Wet,Steel,1200,High,Loamy,Reinforced Concrete,Raised,"80,000"
04-01-2016,Earthquake,3,Extreme,Assam,10,33.643,5,50,Subtropical,Reinforced Concrete,1200,High,Rocky,Reinforced Concrete,Deep,"50,000"
11-07-2016,Flood,8,High,Uttar Pradesh,25,400.621,10,80,Subtropical,Reinforced Concrete,1100,High,Alluvial,Concrete Slabs,Raised,"50,000"
30-07-2016,Cyclone,2,High,Orissa,26,200.754,90,85,Tropical Wet,Steel ,1200,High,Loamy,Steel Frame,Raised,"70,000"
14-08-2016,Landslide,3,Moderate,Uttarakhand,18,200.321,10,70,Mountain,Stone,1000,Medium,Rocky,Stone walls,Deep,"55,000"
20-09-2016,Flood,7,High,Madhya Pradesh,24,350.764,20,75,Semi-arid,Reinforced Concrete,1100,High,Clayey,Concrete Slabs,Raised,"60,000"
12-12-2016,Cyclone,2,Extreme,Tamil Nadu,22,150.432,120,80,Tropical Wet,Steel,1200,High,Loamy,Reinforced Concrete,Raised,"70,000"
03-01-2017,Earthquake,2,Moderate,Assam,12,30.743,5,50,Subtropical,Reinforced Concrete,1200,High,Rocky,Reinforced Concrete,Deep,"50,000"
18-04-2017,Flood,8,High,Assam,22,300.256,15,80,Subtropical,Reinforced Concrete,1100,High,Alluvial,Concrete Slabs,Raised,"40,000"
30-05-2017,Cyclone,1,High,West Bengal,24,200.875,100,85,Tropical Wet,Bamboo,1200,High,Loamy,Steel Frame,Raised,"50,000"
28-06-2017,Flood,9,High,Gujarat,24,400.7543,10,75,Semi-arid,Reinforced Concrete,1100,High,Clayey,Concrete Slabs,Raised,"60,000"
11-07-2017,Landslide,3,Moderate,Himachal Pradesh,15,200.653,10,70,Mountain,Brick,1000,Medium,Rocky,Stone walls,Deep,"45,000"
23-07-2017,Flood,7,High,West Bengal,26,500.421,15,80,Subtropical,Reinforced Concrete,1100,High,Alluvial,Brick walls,Raised,"35,000"
20-10-2017,Cyclone,2,Extreme,Tamil Nadu,22,150.632,120,80,Tropical Wet,Steel,1200,High,Loamy,Reinforced Concrete,Raised,"65,000"
07-01-2018,Earthquake,1,Moderate,Assam,5,30.767,5,55,Mountain,Reinforced Concrete,1200,High,Rocky,Reinforced Concrete,Deep,"50,000"
03-05-2018,Cyclone,6,High,Rajasthan,25,50.234,80,65,Semi-arid,Brick,1000,High,Sandy,Stone walls,Shallow,"40,000"
15-06-2018,Flood,9,High,Bihar,26,400.986,10,80,Subtropical,Reinforced Concrete,1100,High,Alluvial,Brick walls,Raised,"35,000"
26-07-2018,Flood,8,High,Maharashtra,22,500.234,15,85,Tropical Wet,Reinforced Concrete,1100,High,Clayey,Concrete Slabs,Raised,"55,000"
06-08-2018,Flood,4,Extreme,kerala,20,600.542,20,85,Tropical Wet,Reinforced Concrete,1200,High,Loamy,Concrete Slabs,Raised,"70,000"
08-08-2018,Landslide,3,Moderate,Himachal Pradesh,15,300.351,10,70,Mountain,Stone,1000,Medium,Rocky,Brick walls,Deep,"50,000"
21-09-2018,Cyclone,4,Moderate,Orissa,22,150.764,80,80,Tropical Wet,Steel,1200,High,Loamy,Reinforced Concrete,Raised,"60,000"
16-11-2018,Cyclone,2,High,Tamil Nadu,22,150.974,120,80,Tropical Wet,Steel,1300,High,Loamy,Reinforced Concrete,Raised,"75,000"
08-01-2019,Earthquake,3,Moderate,J and K,5,27.865,7,55,Mountain,Reinforced Concrete,1300,High,Rocky,Concrete Slabs,Deep,"44,000"
03-05-2019,Cyclone,2,Extreme,West Bengal,25,150.622,200,90,Tropical Wet,Steel,1200,High,Loamy,Concrete Slabs,Raised,"55,000"
15-06-2019,Flood,7,High,Bihar,26,400.321,10,85,Subtropical,Reinforced Concrete,1100,High,Alluvial,Reinforced Concrete,Raised,"35,000"
26-07-2019,Flood,8,High,Maharashtra,22,500.421,15,88,Tropical Wet,Stone,1100,High,Clayey,Brick walls,Raised,"60,000"
08-08-2019,Landslide,1,Moderate,Himachal Pradesh,15,300.622,10,78,Mountain,Stone,1000,Medium,Rocky,Concrete Slabs,Deep,"50,000"
30-09-2019,Flood,8,High,Madhya Pradesh,24,400.452,10,79,Semi-arid,Reinforced Concrete,1100,High,Clayey,Concrete Slabs,Raised,"65,000"
08-11-2019,Cyclone,3,High,Orissa,22,155.975,120,80,Tropical Wet,Steel,1200,High,Loamy,Reinforced Concrete,Raised,"75,000"
05-02-2020,Earthquake,2,Moderate,J and K,5,30.876,5,50,Mountain,Reinforced Concrete,1300,High,Rocky,Stone walls,Deep,"50,000"
21-04-2020,Cyclone,1,Extreme,West Bengal,25,200.432,160,85,Tropical Wet,Steel,1200,High,Loamy,Reinforced Concrete,Raised,"55,000"
22-05-2020,Cyclone,3,Moderate,Maharashtra,26,100.876,110,88,Tropical Wet,Steel,1200,High,Loamy,Brick walls,Raised,"60,000"
10-06-2020,Flood,8,High,Assam,26,500.875,10,81,Subtropical,Reinforced Concrete,1100,High,Alluvial,Concrete Slabs,Raised,"35,000"
06-08-2020,Landslide,3,High,Kerala,20,400.643,10,85,Tropical Wet,Reinforced Concrete,1000,Medium,Rocky,Brick walls,Deep,"50,000"
16-09-2020,Flood,9,High,Bihar,25,300.321,15,86,Subtropical,Brick,1100,High,Clayey,Concrete Slabs,Raised,"60,000"
23-10-2020,Cyclone,2,Moderate,Tamil Nadu,22,150.432,80,88,Tropical Wet,Steel,1300,High,Loamy,Reinforced Concrete,Raised,"70,000"
12-01-2021,Earthquake,2,High,Assam,10,26.764,10,40,Mountain,Reinforced Concrete,1300,High,Rocky,Reinforced Concrete,Deep,"50,000"
14-04-2021,Cyclone,1,Extreme,Gujarat,28,150.624,180,85,Tropical Wet,Steel,1200,High,Loamy,Concrete Slabs,Raised,"60,000"
17-05-2021,Cyclone,4,Extreme,West Bengal,25,200.532,130,88,Tropical Wet,Steel ,1250,High,Loamy,Concrete Slabs,Raised,"60,000"
16-06-2021,Flood,8,High,Assam,25,500.865,10,82,Subtropical,Reinforced Concrete,1100,High,Alluvial,Concrete Slabs,Raised,"45,000"
21-07-2021,Landslide,3,High,Himachal Pradesh,20,300.523,13,75,Mountain,Brick,1000,Medium,Rocky,Stone walls,Deep,"55,000"
05-09-2021,Flood,9,High,Kerala,24,400.765,17,85,Tropical Wet,Stone,1150,High,Sandy,Concrete Slabs,Raised,"65,000"
11-10-2021,Cyclone,3,Moderate,Andhra Pradesh,26,100.322,90,88,Tropical Wet,Reinforced Concrete,1260,High,Loamy,Brick walls,Raised,"60,000"
14-10-2021,Cyclone,2,Moderate,maharashtra,28,100.875,110,82,Tropical Wet,Reinforced Concrete,1200,High,Loamy,Reinforced Concrete,Raised,"55,000"
21-01-2022,Earthquake,2,Moderate,J and K,3,20.876,10,50,Mountain,Reinforced Concrete,1200,High,Rocky,Reinforced Concrete,Deep,"45,000"
15-03-2022,Forest Fire,8,High,Himachal Pradesh,25,25.986,10,20,Semi-arid,Timber,800,Medium,Sandy,Timber,Shallow,"30,000"
10-05-2022,Cyclone,3,High,Orissa,28,200.542,150,85,Tropical Wet,Reinforced Concrete,1300,High,Loamy,Concrete Slabs,Raised,"60,000"
01-06-2022,Flood,9,High,Bihar,30,300.765,15,80,Subtropical,Reinforced Concrete,1000,High,Alluvial,Concrete Slabs,Raised,"35,000"
